levels,range_pct,leverage,order_size_ratio,fill_failure_rate,trades,return_pct,max_dd_pct,pf,win_rate
2,0.01,1.25,0.01,0.0,78712,100.25484398843636,158.09880127244352,1.0035621986213936,49.4974497199529
2,0.01,1.25,0.01,0.02,77108,97.68254398685043,155.2587243651238,1.003547677084292,49.504065230518755
2,0.01,1.25,0.01,0.05,74716,90.59026780567038,155.32311437669875,1.0034131383626927,49.513989689173634
3,0.01,1.25,0.01,0.05,167160,110.42993273746076,204.57844586410823,1.002030270312634,49.0101279820906
3,0.01,1.25,0.01,0.02,172424,110.37340612649713,207.2732552314309,1.0019683200095924,48.99532781114521
3,0.01,1.25,0.01,0.0,175911,111.95536115178591,211.59967167159442,1.0019522699508032,48.98852107837193
2,0.01,1.0,0.01,0.05,40258,-14.316063385767338,118.2192232667175,0.9987674829955893,49.656238030006946
2,0.01,1.0,0.01,0.02,41530,-13.702049933350354,121.83283203578814,0.9988616859401999,49.66309639727361
2,0.01,1.0,0.01,0.0,42349,-13.916306044639931,122.94056396462926,0.9988589653762407,49.65468447767782
4,0.01,1.25,0.01,0.05,264122,65.19747925420204,285.06086482434483,1.0007879748446264,48.69025282733313
