levels,range_pct,leverage,order_size_ratio,fill_failure_rate,trades,return_pct,max_dd_pct,pf,win_rate
7,0.01,1.5,0.02,0.0,592061,1152.7982289210265,494.81050513883923,1.0022600810619169,48.45103371829243
7,0.01,1.5,0.02,0.05,562812,1125.644783280338,485.2662469410731,1.0023132649029036,48.47846222861956
7,0.01,1.5,0.02,0.02,580364,1117.9634319507309,482.18962830568904,1.0022328751975915,48.467256340497954
6,0.01,1.5,0.02,0.05,463396,952.3615133692045,477.56522176782886,1.0023761058144363,48.54606633137187
7,0.01,1.0,0.02,0.0,596247,901.5352398033738,415.1088278238368,1.0027596207117766,48.51307163222242
7,0.01,1.0,0.02,0.05,566740,880.01673145687,402.82546104270233,1.002837203426769,48.53686595107741
7,0.01,1.0,0.02,0.02,584368,876.425437772178,404.73561853106685,1.0027477371981068,48.51306505139028
5,0.01,1.5,0.02,0.02,375741,872.6391908675978,432.85182718417667,1.002646348745825,48.67644535663299
5,0.01,1.5,0.02,0.0,383219,865.0627998539746,441.5743315482631,1.0025750276784406,48.67079175845536
6,0.01,1.5,0.02,0.0,487212,868.1882479739155,484.4618110401023,1.002085253031587,48.52099576779245
