levels,range_pct,leverage,order_size_ratio,fill_failure_rate,trades,return_pct,max_dd_pct,pf,win_rate
2,0.01,1.0,0.01,0.05,40258,-14.316063385767338,118.2192232667175,0.9987674829955893,49.656238030006946
2,0.01,1.0,0.01,0.02,41530,-13.702049933350354,121.83283203578814,0.9988616859401999,49.66309639727361
2,0.01,1.0,0.01,0.0,42349,-13.916306044639931,122.94056396462926,0.9988589653762407,49.65468447767782
3,0.01,1.0,0.01,0.05,90396,-8.418354904979351,264.42555096202136,0.9997082153696804,49.337950441045145
3,0.01,1.0,0.01,0.0,95112,-6.602280795596016,275.8813583025613,0.9997823570480914,49.312437778990976
3,0.01,1.0,0.01,0.02,93169,-8.172638211861194,273.97256564896264,0.9997251507595802,49.32040955280636
4,0.01,1.0,0.01,0.05,142155,-2.3139426217784056,407.8598657663208,0.9999493491507931,49.136722057578325
4,0.01,1.0,0.01,0.02,146506,-10.95269550388097,414.2266510855518,0.9997651825397535,49.114686796450805
4,0.01,1.0,0.01,0.0,149492,-13.271672108967906,422.5475640812298,0.9997214573777469,49.107125134807895
