levels,range_pct,leverage,order_size_ratio,fill_failure_rate,trades,return_pct,max_dd_pct,pf,win_rate
3,0.02,1.0,0.015,0.02,904,2.7745896729759623,0.37053850213178846,0.921124386445116,47.78761061946903
3,0.02,1.0,0.015,0.0,906,2.773013225993709,0.37211429881177854,0.9208089014397836,47.792494481236204
3,0.02,1.0,0.015,0.05,901,2.7546290716143997,0.3904908695188579,0.9149996307297756,47.613762486126525
2,0.02,1.0,0.015,0.05,376,1.363321864081845,0.22851024477976412,0.9097056849893447,45.21276595744681
2,0.02,1.0,0.015,0.0,378,1.3586154354185782,0.2318982506251515,0.9071875005961425,44.70899470899471
2,0.02,1.0,0.015,0.02,377,1.349828258833113,0.24068363330985884,0.9019036143559206,44.56233421750663
