levels,range_pct,leverage,order_size_ratio,fill_failure_rate,trades,return_pct,max_dd_pct,pf,win_rate
10,0.02,3.0,0.08,0.0,906711,235990.0027527518,1850.335413243585,1.00557744218931,48.67732669966404
10,0.02,3.0,0.08,0.02,888574,231882.927077355,1844.1076832912859,1.0055839208655886,48.68302097292306
10,0.02,3.0,0.08,0.05,861540,224746.4674140481,1847.4592276712383,1.0055776444197368,48.69229807331595
9,0.02,3.0,0.08,0.0,801330,209233.10446864206,1843.6838802033346,1.0055740020027386,48.707036173481335
9,0.02,3.0,0.08,0.02,785444,205244.32595833787,1836.411268963122,1.0055780635662188,48.70774263904035
9,0.02,3.0,0.08,0.05,761658,199089.23994475894,1838.714570817718,1.0055815146067062,48.71964304616856
8,0.02,3.0,0.08,0.0,695439,182285.6880423887,1788.9212939540776,1.0056172290020424,48.74015646961421
8,0.02,3.0,0.08,0.02,681593,178353.47324523423,1792.3639831421397,1.005618432872183,48.74372181838604
8,0.02,3.0,0.08,0.05,660871,173753.27311074076,1808.74452988237,1.0056143581682584,48.757651333506665
7,0.02,3.0,0.08,0.0,590408,158653.57766695166,1805.2032843850238,1.0056660100717723,48.78497530776986
