levels,range_pct,leverage,order_size_ratio,fill_failure_rate,trades,return_pct,max_dd_pct,pf,win_rate
3,0.01,1.0,0.01,0.05,90396,-8.418354904979351,264.42555096202136,0.9997082153696804,49.337950441045145
3,0.01,1.0,0.01,0.0,95112,-6.602280795596016,275.8813583025613,0.9997823570480914,49.312437778990976
3,0.01,1.0,0.01,0.02,93169,-8.172638211861194,273.97256564896264,0.9997251507595802,49.32040955280636
4,0.01,1.0,0.01,0.05,142155,-2.3139426217784056,407.8598657663208,0.9999493491507931,49.136722057578325
4,0.01,1.0,0.01,0.02,146506,-10.95269550388097,414.2266510855518,0.9997651825397535,49.114686796450805
4,0.01,1.0,0.01,0.0,149492,-13.271672108967906,422.5475640812298,0.9997214573777469,49.107125134807895
5,0.01,1.0,0.01,0.05,194098,23.161115099551388,568.8496664894666,1.0003525842483387,49.07754681598478
5,0.01,1.0,0.01,0.02,200269,24.146413835500134,581.3753267173466,1.000356708520803,49.056541510193576
5,0.01,1.0,0.01,0.0,204300,15.13657988819934,588.3797869784507,1.0002210133592018,49.04800232226737
