levels,range_pct,leverage,order_size_ratio,fill_failure_rate,trades,return_pct,max_dd_pct,pf,win_rate
2,0.021,1.0,0.015,0.0,340,-0.06220384018810364,0.16038300009060213,0.9584911145542512,45.588235294117645
2,0.021,1.0,0.015,0.02,338,-0.07094497883659642,0.16936741335102098,0.9529326595307064,45.857988165680474
2,0.021,1.0,0.015,0.05,338,-0.08224920951601235,0.1793714738751334,0.9450801436161598,45.562130177514796
3,0.021,1.0,0.015,0.0,819,-0.11042233385822328,0.2585005161431231,0.9448521489598544,47.181372549019606
3,0.021,1.0,0.015,0.02,817,-0.12102852059982978,0.2643358945766871,0.9412065120724276,47.174447174447174
3,0.021,1.0,0.015,0.05,810,-0.1469400035282524,0.27906238416628054,0.9324086597268633,47.21189591078067
